Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747791295,"2025-05-21 01:34:55",B5740,CZ3401,8412.48,777.84,298,107.12531280518,26.218173980713
1747791310,"2025-05-21 01:35:10",B5740,CZ3401,8412.48,775.988,298,107.09662628174,26.231767654419
1747791325,"2025-05-21 01:35:25",B5740,CZ3401,8412.48,777.84,298,107.06852722168,26.245080947876
1747791341,"2025-05-21 01:35:41",B5740,CZ3401,8412.48,777.84,298,107.03905487061,26.258907318115
1747791355,"2025-05-21 01:35:55",B5740,CZ3401,8412.48,777.84,298,107.01110839844,26.272079467773
1747791370,"2025-05-21 01:36:10",B5740,CZ3401,8412.48,777.84,298,106.98268890381,26.285610198975
1747791385,"2025-05-21 01:36:25",B5740,CZ3401,8412.48,779.692,298,106.95407867432,26.299350738525
1747791400,"2025-05-21 01:36:40",B5740,CZ3401,8412.48,779.692,298,106.92496490479,26.313373565674
1747791415,"2025-05-21 01:36:55",B5740,CZ3401,8412.48,779.692,299,106.89665985107,26.327087402344
1747791430,"2025-05-21 01:37:10",B5740,CZ3401,8412.48,779.692,298,106.86820983887,26.340869903564
1747791441,"2025-05-21 01:37:21",B5740,CZ3401,8412.48,783.396,304,106.84896087646,26.351219177246
1747791455,"2025-05-21 01:37:35",B5740,CZ3401,8412.48,783.396,310,106.82386779785,26.369375228882
1747791470,"2025-05-21 01:37:50",B5740,CZ3401,8412.48,781.544,309,106.79820251465,26.388414382935
1747791485,"2025-05-21 01:38:05",B5740,CZ3401,8412.48,781.544,310,106.77317047119,26.407012939453
